标题;链接;作者;机构;国家;大学
Immunoglobulin G isolation by fast protein liquid chromatography (FPLC): Method validation and implementation in patients with amyotrophic lateral sclerosis – a preliminary study;https://open-research-europe.ec.europa.eu/articles/2-93;Pavle Andjus;Center for Laser Microscopy, Department for Physiology and Biochemistry ‘Ivan Djaja’, University of Belgrade, Belgrade;Serbia;University of Belgrade
Immunoglobulin G isolation by fast protein liquid chromatography (FPLC): Method validation and implementation in patients with amyotrophic lateral sclerosis – a preliminary study;https://open-research-europe.ec.europa.eu/articles/2-93;Gulderen Yanikkaya Demirel;Immunology Department, Yeditepe University, İstanbul, 34755;Turkey;Yeditepe University
Evolving requirements for materials modelling software and underlying method developments: an inventory and future outlook;https://open-research-europe.ec.europa.eu/articles/2-86;Ilian Todorov;Scientific Computing Department, Science and Technology Facilities Council, Warrington, Cheshire, WA4 4AD;UK;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Paul Strubinger Sandoval;Plymouth Marine Laboratory, Prospect Place, Plymouth, PL1 3DH;UK;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Giorgio Dall'Olmo;National Centre for Earth Observation, Plymouth, PL1 3DH;UK;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Keith Haines;National Centre for Earth Observation, Reading, RG6 6AH;UK;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Rafael Rasse;Sorbonne Universités, Laboratoire d’Océanographie de Villefranche, Institut de la Mer de Villefranche, Villefranche-sur-Mer, 06230;France;Sorbonne Universités
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Jelizaveta Ross;National Centre for Earth Observation, Plymouth, PL1 3DH;UK;
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Maria Priestley;Department of Informatics, King's College London, London, WC2B 4BG;UK;
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Elena Simperl;Department of Informatics, King's College London, London, WC2B 4BG;UK;
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Cristina Juc;Spherik Accelerator, Bucharest, 400267;Romania;
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;María Anguiano;ZABALA Innovation Consulting, Mutilva Alta, Navarra, 31192;Spain;
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Patricia Ternes;Leeds Institute for Data Analytics, University of Leeds, Leeds;UK;University of Leeds
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Jonathan A Ward;School of Mathematics, University of Leeds, Leeds;UK;University of Leeds
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Alison Heppenstall;MRC/CSO Social and Public Health Sciences Unit, University of Glasgow, Glasgow;UK;University of Glasgow
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Vijay Kumar;Leeds Institute for Data Analytics, University of Leeds, Leeds;UK;University of Leeds
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Le-Minh Kieu;Department of Civil and Environmental Engineering, University of Auckland, Auckland;New Zealand;University of Auckland
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Nick Malleson;Leeds Institute for Data Analytics, University of Leeds, Leeds;UK;University of Leeds
Effective inter-organisational networks for Responsible Research and Innovation and global sustainability: a scoping review;https://open-research-europe.ec.europa.eu/articles/1-144;Danielle Martine Farrugia;International Consortium of Research Staff Associations (ICoRSA), Cork City;Ireland;
Effective inter-organisational networks for Responsible Research and Innovation and global sustainability: a scoping review;https://open-research-europe.ec.europa.eu/articles/1-144;Silvia Leonor Vilches;Department of Human Development and Family Studies, Auburn University, Auburn, United States, Auburn;USA;Auburn University
Effective inter-organisational networks for Responsible Research and Innovation and global sustainability: a scoping review;https://open-research-europe.ec.europa.eu/articles/1-144;Alexander Gerber;Science communication, Rhine-Waal University, Kleve;Germany;Rhine-Waal University
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Jorge Quereda;Nanotechnology Group, USAL–Nanolab, Univesidad de Salamanca, Salamanca, Junta de Castilla y León, 37007;Spain;
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Quinghua Zhao;Materials Science Factory, Instituto de Ciencia de Materiales de Madrid (ICMM-CSIC), Madrid, Madrid, 28049;Spain;
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Enrique Diez;Nanotechnology Group, USAL–Nanolab, Univesidad de Salamanca, Salamanca, Junta de Castilla y León, 37007;Spain;
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Riccardo Frisenda;Materials Science Factory, Instituto de Ciencia de Materiales de Madrid (ICMM-CSIC), Madrid, Madrid, 28049;Spain;
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Andrés Castellanos-Gomez;Materials Science Factory, Instituto de Ciencia de Materiales de Madrid (ICMM-CSIC), Madrid, Madrid, 28049;Spain;
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;George Meramveliotakis;Laboratory of Steam Boilers and Thermal Plants, School of Mechanical Engineering, National Technical University of Athens, Athens, 15780;Greece;National Technical University of Athens
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;George Kosmadakis;Thermal Hydraulics and Multiphase Flow Laboratory, Institute of Nuclear & Radiology Sciences & Technology, Energy & Safety, National Center for Scientific Research Demokritos, Agia Paraskevi, 15341;Greece;
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Sotirios Karellas;Laboratory of Steam Boilers and Thermal Plants, School of Mechanical Engineering, National Technical University of Athens, Athens, 15780;Greece;National Technical University of Athens
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Camilla Bertolini;DAIS, Ca' Foscari University of Venice, Venice, 30170;Italy;Ca' Foscari University of Venice
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Roberto Pastres;DAIS, Ca' Foscari University of Venice, Venice, 30170;Italy;Ca' Foscari University of Venice
The development of a four-tier test to evaluate training in responsible conduct of research;https://open-research-europe.ec.europa.eu/articles/1-90;Linda Zollitsch;University of Kiel, Kiel;Germany;University of Kiel
The development of a four-tier test to evaluate training in responsible conduct of research;https://open-research-europe.ec.europa.eu/articles/1-90;Nicolaus Wilder;University of Kiel, Kiel;Germany;University of Kiel
The development of a four-tier test to evaluate training in responsible conduct of research;https://open-research-europe.ec.europa.eu/articles/1-90;Julia Priess-Buchheit;University of Applied Sciences Coburg, Coburg;Germany;University of Applied Sciences Coburg
“Frenemies” of innovation: understanding the role of coopetition in service innovation in emerging markets;https://open-research-europe.ec.europa.eu/articles/2-25;Sohaib S. Hassan;BMBF-KontiKat, Faculty III, University of Siegen, Siegen, NRW, 57072;Germany;University of Siegen
“Frenemies” of innovation: understanding the role of coopetition in service innovation in emerging markets;https://open-research-europe.ec.europa.eu/articles/2-25;Abiodun Egbetokun;National Centre for Technology Management, Obafemi Awolowo University, Ile-Ife, 220005;Nigeria;Obafemi Awolowo University
“Frenemies” of innovation: understanding the role of coopetition in service innovation in emerging markets;https://open-research-europe.ec.europa.eu/articles/2-25;Levan Bzhalava;Finland Futures Research Centre, Turku School of Economics, University of Turku, Turku, FI-20014;Finland;University of Turku
Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle;https://open-research-europe.ec.europa.eu/articles/2-81;Christophe Morel;Liten, CEA, Grenoble, France, 38240;France;
Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle;https://open-research-europe.ec.europa.eu/articles/2-81;Franck Pra;Liten, CEA, Grenoble, France, 38240;France;
Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle;https://open-research-europe.ec.europa.eu/articles/2-81;Qyunh Trang Pham;Liten, CEA, Grenoble, France, 38240;France;
Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle;https://open-research-europe.ec.europa.eu/articles/2-81;Sébastien Fiette;Liten, CEA, Grenoble, France, 38240;France;
Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle;https://open-research-europe.ec.europa.eu/articles/2-81;Manex Larranaga;Cidetec, Donostia, Spain, 20014;Spain;
Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle;https://open-research-europe.ec.europa.eu/articles/2-81;Gorka Vertiz;Cidetec, Donostia, Spain, 20014;Spain;
Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle;https://open-research-europe.ec.europa.eu/articles/2-81;Mikel Arrinda;Cidetec, Donostia, Spain, 20014;Spain;
­­­Mechanical behavior of textile reinforced alkali-activated mortar based on fly ash, metakaolin and ladle furnace slag;https://open-research-europe.ec.europa.eu/articles/2-79;Andres Arce;Department of Civil Enginnering, University of Patras, Patras, West Greece, 26222;Greece;University of Patras
­­­Mechanical behavior of textile reinforced alkali-activated mortar based on fly ash, metakaolin and ladle furnace slag;https://open-research-europe.ec.europa.eu/articles/2-79;Lazar Azdejkovic;Department of Civil Enginnering, University of Patras, Patras, West Greece, 26222;Greece;University of Patras
­­­Mechanical behavior of textile reinforced alkali-activated mortar based on fly ash, metakaolin and ladle furnace slag;https://open-research-europe.ec.europa.eu/articles/2-79;Luiz Miranda de Lima;Department of Materials and Environment, Delft University of Technology, Delft, 2628;The Netherlands;Delft University of Technology
­­­Mechanical behavior of textile reinforced alkali-activated mortar based on fly ash, metakaolin and ladle furnace slag;https://open-research-europe.ec.europa.eu/articles/2-79;Catherine G. Papanicolaou;Department of Civil Enginnering, University of Patras, Patras, West Greece, 26222;Greece;University of Patras
­­­Mechanical behavior of textile reinforced alkali-activated mortar based on fly ash, metakaolin and ladle furnace slag;https://open-research-europe.ec.europa.eu/articles/2-79;Thanasis C. Triantafillou;Department of Civil Enginnering, University of Patras, Patras, West Greece, 26222;Greece;University of Patras
Innovative forest products in the circular bioeconomy;https://open-research-europe.ec.europa.eu/articles/2-19;Mariana Hassegawa;Bioeconomy, European Forest Institute, Joensuu, 80100;Finland;
Innovative forest products in the circular bioeconomy;https://open-research-europe.ec.europa.eu/articles/2-19;Anna Karlberg;Stora Enso, Falun, SE-791 80;Sweden;
Innovative forest products in the circular bioeconomy;https://open-research-europe.ec.europa.eu/articles/2-19;Magnus Hertzberg;SweTree Technologies, Umeå, 907 36;Sweden;
Innovative forest products in the circular bioeconomy;https://open-research-europe.ec.europa.eu/articles/2-19;Pieter Johannes Verkerk;Bioeconomy, European Forest Institute, Joensuu, 80100;Finland;
Accelerating Large-Scale-Structure data analyses by emulating Boltzmann solvers and Lagrangian Perturbation Theory;https://open-research-europe.ec.europa.eu/articles/1-152;Giovanni Arico';Institute for Computational Science, University of Zurich, Winterthurerstrasse 190, 8057 Zurich;Switzerland;University of Zurich
Accelerating Large-Scale-Structure data analyses by emulating Boltzmann solvers and Lagrangian Perturbation Theory;https://open-research-europe.ec.europa.eu/articles/1-152;Raul Angulo;Ikerbasque, Basque Foundation for Science, Bilbao, Bizkaia, 48013;Spain;
Accelerating Large-Scale-Structure data analyses by emulating Boltzmann solvers and Lagrangian Perturbation Theory;https://open-research-europe.ec.europa.eu/articles/1-152;Matteo Zennaro;Donostia International Physics Center, Donostia/San Sebastián, Gipuzkoa, 20018;Spain;
Facilitating transformative innovations in sustainability education;https://open-research-europe.ec.europa.eu/articles/2-22;Martin Melin;Department of People and Society, Swedish University of Agricultural Sciences, Box 190, 234 22 Lomma;Sweden;Swedish University of Agricultural Sciences
Facilitating transformative innovations in sustainability education;https://open-research-europe.ec.europa.eu/articles/2-22;Geir Lieblein;Department of Plant Science, Faculty of Biosciences, Norwegian University of Life Sciences, P.O Box 5003, 1430, Ås;Norway;Norwegian University of Life Sciences
Facilitating transformative innovations in sustainability education;https://open-research-europe.ec.europa.eu/articles/2-22;Tor Arvid Breland;Department of Plant Science, Faculty of Biosciences, Norwegian University of Life Sciences, P.O Box 5003, 1430, Ås;Norway;Norwegian University of Life Sciences
Facilitating transformative innovations in sustainability education;https://open-research-europe.ec.europa.eu/articles/2-22;Charles Francis;Department of Agronomy and Horticulture, Institute of Agriculture and Natural Resources, 279 Plant Science Building, University of Nebraska –Lincoln;USA;University of Nebraska –Lincoln
Validation of a lithium-ion commercial battery pack model using experimental data for stationary energy management application;https://open-research-europe.ec.europa.eu/articles/2-15;Ana Foles;Renewable Energies Chair, University of Évora, Pólo da Mitra da Universidade de Évora, Edifício Ário Lobo de Azevedo, 7000-083 Nossa Senhora da Tourega;Portugal;University of Évora
Validation of a lithium-ion commercial battery pack model using experimental data for stationary energy management application;https://open-research-europe.ec.europa.eu/articles/2-15;Luís Fialho;Renewable Energies Chair, University of Évora, Pólo da Mitra da Universidade de Évora, Edifício Ário Lobo de Azevedo, 7000-083 Nossa Senhora da Tourega;Portugal;University of Évora
Validation of a lithium-ion commercial battery pack model using experimental data for stationary energy management application;https://open-research-europe.ec.europa.eu/articles/2-15;Pedro Horta;Renewable Energies Chair, University of Évora, Pólo da Mitra da Universidade de Évora, Edifício Ário Lobo de Azevedo, 7000-083 Nossa Senhora da Tourega;Portugal;University of Évora
Validation of a lithium-ion commercial battery pack model using experimental data for stationary energy management application;https://open-research-europe.ec.europa.eu/articles/2-15;Manuel Collares-Pereira;Renewable Energies Chair, University of Évora, Pólo da Mitra da Universidade de Évora, Edifício Ário Lobo de Azevedo, 7000-083 Nossa Senhora da Tourega;Portugal;University of Évora
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Kelly Achenbach;Max Weber Stiftung – Deutsche Geisteswissenschaftliche Institute im Ausland, Bonn, 53173;Germany;
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Marta Błaszczyńska;Institute of Literary Research, Polish Academy of Sciences, Warsaw, 00-330;Poland;
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Stefano De Paoli;Abertay University, Dundee, Scotland, DD1 1HG;UK;Abertay University
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Francesca Di Donato;Istituto di Linguistica Computazionale “A. Zampolli”, Consiglio Nazionale delle ricerche (CNR), Pisa, 56124;Italy;
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Suzanne Dumouchel;TGIR Huma-Num, CNRS, Aubervilliers, 93300;France;
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Paula Forbes;Abertay University, Dundee, Scotland, DD1 1HG;UK;Abertay University
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Peter Kraker;Open Knowledge Maps, Wien, AT-1060;Poland;
Defining discovery: Is Google Scholar a discovery platform? An essay on the need for a new approach to scholarly discovery;https://open-research-europe.ec.europa.eu/articles/2-28;Michela Vignoli;Open Knowledge Maps, Wien, AT-1060;Poland;
Mission-based optimal morphing parameters for rotors with combined chord and twist morphing;https://open-research-europe.ec.europa.eu/articles/1-121;Rohin Kumar Majeti;German Aerospace Center (DLR), Braunschweig;Germany;
Mission-based optimal morphing parameters for rotors with combined chord and twist morphing;https://open-research-europe.ec.europa.eu/articles/1-121;Stephan Benz;Technical University of Braunschweig, Braunschweig;Germany;Technical University of Braunschweig
Data assimilation with agent-based models using Markov chain sampling;https://open-research-europe.ec.europa.eu/articles/2-70;Daniel Tang;Leeds Institute for Data Analytics, University of Leeds, Leeds;UK;University of Leeds
Data assimilation with agent-based models using Markov chain sampling;https://open-research-europe.ec.europa.eu/articles/2-70;Nick Malleson;School of Geography, University of Leeds, Leeds;UK;University of Leeds
API-based evidence acquisition in the cloud - a survey;https://open-research-europe.ec.europa.eu/articles/2-69;Dr. Dirk Pawlaszczyk;Department of Computer Sciences, Hochschule Mittweida - University of Applied Sciences, Mittweida, Saxonia, 09648;Germany;Hochschule Mittweida - University of Applied Sciences
API-based evidence acquisition in the cloud - a survey;https://open-research-europe.ec.europa.eu/articles/2-69;Martin Bochmann;Department of Computer Sciences, Hochschule Mittweida - University of Applied Sciences, Mittweida, Saxonia, 09648;Germany;Hochschule Mittweida - University of Applied Sciences
API-based evidence acquisition in the cloud - a survey;https://open-research-europe.ec.europa.eu/articles/2-69;Philipp Engler;Department of Computer Sciences, Hochschule Mittweida - University of Applied Sciences, Mittweida, Saxonia, 09648;Germany;Hochschule Mittweida - University of Applied Sciences
API-based evidence acquisition in the cloud - a survey;https://open-research-europe.ec.europa.eu/articles/2-69;Coert Klaver;Netherlands Forensic Institute (NFI), The Hague, 2497 GB;The Netherlands;
API-based evidence acquisition in the cloud - a survey;https://open-research-europe.ec.europa.eu/articles/2-69;Christian Hummert;Agentur fuer Innovation in der Cybersicherheit, Halle(Saale), 06110;Germany;
Complicity at a distance: commemorating problematic involvement in perpetration in contemporary Central and Eastern European literatures;https://open-research-europe.ec.europa.eu/articles/2-42;Juliane Prade-Weiss;Department of Comparative Literature, Ludwig Maximilian University of Munich, Munich, Bavaria, 80799;Germany;Ludwig Maximilian University of Munich
Modelling charge profiles of electric vehicles based on charges data;https://open-research-europe.ec.europa.eu/articles/1-156;Natascia Andrenacci;Ente per le Nuove Tecnologie, l'Energia e l'Ambiente (ENEA), Rome, 00193;Italy;
Modelling charge profiles of electric vehicles based on charges data;https://open-research-europe.ec.europa.eu/articles/1-156;Federico Karagulian;Ente per le Nuove Tecnologie, l'Energia e l'Ambiente (ENEA), Rome, 00193;Italy;
Modelling charge profiles of electric vehicles based on charges data;https://open-research-europe.ec.europa.eu/articles/1-156;Antonino Genovese;Ente per le Nuove Tecnologie, l'Energia e l'Ambiente (ENEA), Rome, 00193;Italy;
An Interoperability Framework for electromobility (INFRA): The main results from the USER-CHI framework implementation in a new spotlight;https://open-research-europe.ec.europa.eu/articles/2-65;Katharina Csillak;Mobility Department, Institute for Climate Protection, Energy and Mobility (IKEM), 10179 Berlin;Germany;
An Interoperability Framework for electromobility (INFRA): The main results from the USER-CHI framework implementation in a new spotlight;https://open-research-europe.ec.europa.eu/articles/2-65;Mariana Moreno Kuhnke;Energy Law Department, Institute for Climate Protection, Energy and Mobility (IKEM), 10179 Berlin;Germany;
Quantifying the influence of Open Access on innovation and patents;https://open-research-europe.ec.europa.eu/articles/2-64;Najko Jahn;Göttingen State and University Library, University of Göttingen, Göttingen, 37073;Germany;Göttingen State and University Library
Quantifying the influence of Open Access on innovation and patents;https://open-research-europe.ec.europa.eu/articles/2-64;Thomas Klebel;Know-Center GmbH, Graz, 8010;Austria;
Quantifying the influence of Open Access on innovation and patents;https://open-research-europe.ec.europa.eu/articles/2-64;David Pride;Knowledge Media institute, The Open University, Milton Keynes, MK76AA;UK;The Open University
Quantifying the influence of Open Access on innovation and patents;https://open-research-europe.ec.europa.eu/articles/2-64;Petr Knoth;Knowledge Media institute, The Open University, Milton Keynes, MK76AA;UK;The Open University
Quantifying the influence of Open Access on innovation and patents;https://open-research-europe.ec.europa.eu/articles/2-64;Tony Ross-Hellauer;Know-Center GmbH, Graz, 8010;Austria;
Implementing living evidence to inform health decisions: A strategy for building capacity in health sector (Protocol);https://open-research-europe.ec.europa.eu/articles/1-114;María Ximena Rojas-Reyes;Institut d'Recerca-Servei d'Epidemiologia Clínica i Salut Pública, Hospital de la Santa Creu i Sant Pau, Carrer de Sant Quintí, Barcelona, 08041;Spain;
Implementing living evidence to inform health decisions: A strategy for building capacity in health sector (Protocol);https://open-research-europe.ec.europa.eu/articles/1-114;Gerard Urrutia Chuchí;Cochrane Iberoamerica, Hospital de la Santa Creu i Sant Pau C/ Sant Antoni Maria Claret, 167, Pavelló 18, planta 0, Barcelona, 08025;Spain;
Implementing living evidence to inform health decisions: A strategy for building capacity in health sector (Protocol);https://open-research-europe.ec.europa.eu/articles/1-114;Gabriel Rada;Faculty of Medicine, Pontificia Universidad Católica de Chile, Av Libertador Bernardo O'Higgins 340, Santiago;Chile;Pontificia Universidad Católica de Chile
Implementing living evidence to inform health decisions: A strategy for building capacity in health sector (Protocol);https://open-research-europe.ec.europa.eu/articles/1-114;Pablo Alonso;Institut d'Recerca-Servei d'Epidemiologia Clínica i Salut Pública, Hospital de la Santa Creu i Sant Pau, Carrer de Sant Quintí, Barcelona, 08041;Spain;
Implementing living evidence to inform health decisions: A strategy for building capacity in health sector (Protocol);https://open-research-europe.ec.europa.eu/articles/1-114;David Rigau Comas;Cochrane Iberoamerica, Hospital de la Santa Creu i Sant Pau C/ Sant Antoni Maria Claret, 167, Pavelló 18, planta 0, Barcelona, 08025;Spain;
Implementing living evidence to inform health decisions: A strategy for building capacity in health sector (Protocol);https://open-research-europe.ec.europa.eu/articles/1-114;Ariadna Auladell-Rispau;Institut d'Recerca-Servei d'Epidemiologia Clínica i Salut Pública, Hospital de la Santa Creu i Sant Pau, Carrer de Sant Quintí, Barcelona, 08041;Spain;
Review of the research programme on the Mortella III wreck (2010-2020, Corsica, France): A contribution to the knowledge of the Mediterranean naval architecture and material culture of the Renaissance.;https://open-research-europe.ec.europa.eu/articles/2-6;Arnaud Cazenave de la Roche;Centro de Ciencias Humanas y Sociales (CCHS), Instituto de Historia (IH), Spanish National Research Council (CSIC), Madrid, 28037;Spain;
Review of the research programme on the Mortella III wreck (2010-2020, Corsica, France): A contribution to the knowledge of the Mediterranean naval architecture and material culture of the Renaissance.;https://open-research-europe.ec.europa.eu/articles/2-6;Fabrizio Ciacchella;NavLab Laboratorio di Storia Marittima e Navale, University of Genoa, Genoa, 16126;Italy;University of Genoa
Review of the research programme on the Mortella III wreck (2010-2020, Corsica, France): A contribution to the knowledge of the Mediterranean naval architecture and material culture of the Renaissance.;https://open-research-europe.ec.europa.eu/articles/2-6;Fabien Langenegger;Office du Patrimoine et de l’Archéologie du Canton de Neuchâtel (OPAN), Neuchâtel, 2068;Switzerland;
Review of the research programme on the Mortella III wreck (2010-2020, Corsica, France): A contribution to the knowledge of the Mediterranean naval architecture and material culture of the Renaissance.;https://open-research-europe.ec.europa.eu/articles/2-6;Max Guérout;Groupe de Recherche en Archéologie Navale (GRAN), Toulon, 83800;France;
Review of the research programme on the Mortella III wreck (2010-2020, Corsica, France): A contribution to the knowledge of the Mediterranean naval architecture and material culture of the Renaissance.;https://open-research-europe.ec.europa.eu/articles/2-6;Marco Milanese;Department of History, Humanities and Education, University of Sassari, Sassari, 07100;Italy;University of Sassari
Review of the research programme on the Mortella III wreck (2010-2020, Corsica, France): A contribution to the knowledge of the Mediterranean naval architecture and material culture of the Renaissance.;https://open-research-europe.ec.europa.eu/articles/2-6;Ana Crespo Solana;Centro de Ciencias Humanas y Sociales (CCHS), Instituto de Historia (IH), Spanish National Research Council (CSIC), Madrid, 28037;Spain;
Training neural networks on domain randomized simulations for ultrasonic inspection;https://open-research-europe.ec.europa.eu/articles/2-43;Klaus Schlachter;Machine Vision, Profactor GmbH, Steyr, 4407;Austria;
Training neural networks on domain randomized simulations for ultrasonic inspection;https://open-research-europe.ec.europa.eu/articles/2-43;Kastor Felsner;Machine Vision, Profactor GmbH, Steyr, 4407;Austria;
Training neural networks on domain randomized simulations for ultrasonic inspection;https://open-research-europe.ec.europa.eu/articles/2-43;Sebastian Zambal;Machine Vision, Profactor GmbH, Steyr, 4407;Austria;
Optimizing within-distance queries by approximating shapes with maximal bounded boxes;https://open-research-europe.ec.europa.eu/articles/2-57;Nefeli Prokopaki-Kostopoulou;Department of Informatics and Telecommunications, National and Kapodistrian University of Athens, Athens, 16122;Greece;National and Kapodistrian University of Athens
Optimizing within-distance queries by approximating shapes with maximal bounded boxes;https://open-research-europe.ec.europa.eu/articles/2-57;Stasinos Konstantopoulos;Institute of Informatics and Telecommunications, National Center for Scientific Research (NCSR) Demokritos, Athens, 15341;Greece;
International eHealth ecosystems and the quest for the winning value proposition: findings from a survey study;https://open-research-europe.ec.europa.eu/articles/2-56;Kira Oberschmidt;eHealth department, Roessingh Research and Development, Enschede, 7500 AH;The Netherlands;
International eHealth ecosystems and the quest for the winning value proposition: findings from a survey study;https://open-research-europe.ec.europa.eu/articles/2-56;Lex van Velsen;eHealth department, Roessingh Research and Development, Enschede, 7500 AH;The Netherlands;
International eHealth ecosystems and the quest for the winning value proposition: findings from a survey study;https://open-research-europe.ec.europa.eu/articles/2-56;Christiane Grünloh;eHealth department, Roessingh Research and Development, Enschede, 7500 AH;The Netherlands;
International eHealth ecosystems and the quest for the winning value proposition: findings from a survey study;https://open-research-europe.ec.europa.eu/articles/2-56;Laura Fiorini;Department of Industrial Engineering, University of Florence, Florence, 50139;Italy;University of Florence
International eHealth ecosystems and the quest for the winning value proposition: findings from a survey study;https://open-research-europe.ec.europa.eu/articles/2-56;Erika Rovini;Department of Industrial Engineering, University of Florence, Florence, 50139;Italy;University of Florence
International eHealth ecosystems and the quest for the winning value proposition: findings from a survey study;https://open-research-europe.ec.europa.eu/articles/2-56;Francisco José Melero Muñoz;Technical Research Centre of Furniture and Wood of the Region of Murcia (CETEM), Yecla, 30510;Spain;
The Ring Fencing Mechanism: a case study of innovative self-financing approach for energy efficiency upgrades;https://open-research-europe.ec.europa.eu/articles/2-53;Ruchi Agrawal;International Energy Research Centre, University College Cork, Cork, T12R5CP;Ireland;University College Cork
The Ring Fencing Mechanism: a case study of innovative self-financing approach for energy efficiency upgrades;https://open-research-europe.ec.europa.eu/articles/2-53;Luciano De Tommasi;International Energy Research Centre, University College Cork, Cork, T12R5CP;Ireland;University College Cork
The Ring Fencing Mechanism: a case study of innovative self-financing approach for energy efficiency upgrades;https://open-research-europe.ec.europa.eu/articles/2-53;Padraig Lyons;International Energy Research Centre, University College Cork, Cork, T12R5CP;Ireland;University College Cork
Development of a theoretically and empirically grounded emotion knowledge training for the young;https://open-research-europe.ec.europa.eu/articles/2-50;Arpine Hovasapian;Department of Work, Organization and Society, Ghent University, Henri Dunantlaan 2, Ghent, 9000;Belgium;Ghent University
