题目;链接;姓名;机构;国家;状态
How science and policy came together and made a global impact: The EU common list of COVID-19 antigen tests;https://open-research-europe.ec.europa.eu/articles/4-198;Benjamin Vallejo;University of the Philippines Diliman;Philippines;Normal
How science and policy came together and made a global impact: The EU common list of COVID-19 antigen tests;https://open-research-europe.ec.europa.eu/articles/4-198;Carles Muntaner;University of Toronto;Canada;Normal
A biobank resource for placental malaria and placental health research;https://open-research-europe.ec.europa.eu/articles/4-273;Stephen Rogerson;University of Melbourne;Australia;Normal
A biobank resource for placental malaria and placental health research;https://open-research-europe.ec.europa.eu/articles/4-273;Julie M. Moore;University of Florida;USA;Normal
Suggestions for resin research under the COST Action EU-PoTaRCh;https://open-research-europe.ec.europa.eu/articles/4-272;Marco Biagi;University of Parma;Italy;Normal
Intracellular dry mass density increases under growth-induced pressure;https://open-research-europe.ec.europa.eu/articles/4-231;Marco Eigenfeld;Medical University of Graz;Austria;Normal
Intracellular dry mass density increases under growth-induced pressure;https://open-research-europe.ec.europa.eu/articles/4-231;Anahit Shirvanyan;Yerevan State University;Armenia;Normal
Intracellular dry mass density increases under growth-induced pressure;https://open-research-europe.ec.europa.eu/articles/4-231;Tong Shu;New York University Langone Health;USA;Normal
Intracellular dry mass density increases under growth-induced pressure;https://open-research-europe.ec.europa.eu/articles/4-231;Jack W Shepherd;University of York;UK;Normal
Intracellular dry mass density increases under growth-induced pressure;https://open-research-europe.ec.europa.eu/articles/4-231;Sara Mouton;University of Groningen;The Netherlands;Normal
Mapping leadership and communities in EU-funded research through network analysis;https://open-research-europe.ec.europa.eu/articles/4-268;Laila Zemīte;Riga Technical University;Latvia;Normal
Mapping leadership and communities in EU-funded research through network analysis;https://open-research-europe.ec.europa.eu/articles/4-268;Andreas V Olympios;University of Cyprus;Cyprus;Normal
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Dodi Sofyan Arief;Universitas Riau;Indonesia;Normal
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Erfan Amini;Stevens Institute of Technology (Ringgold ID: 33694);USA;Normal
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Hooi Siang Kang;Universiti Teknologi Malaysia;Malaysia;Normal
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Ji Zhang;Ocean University of China;China;Normal
Overcoming the Silencing of Doxycycline-Inducible Promoters in hiPSC-derived Cardiomyocytes;https://open-research-europe.ec.europa.eu/articles/4-266;Vincenzo Cirulli;University of Washington;USA;Normal
Overcoming the Silencing of Doxycycline-Inducible Promoters in hiPSC-derived Cardiomyocytes;https://open-research-europe.ec.europa.eu/articles/4-266;Sylwia Bobis-Wozowicz;Jagiellonian University;Poland;Normal
Overcoming the Silencing of Doxycycline-Inducible Promoters in hiPSC-derived Cardiomyocytes;https://open-research-europe.ec.europa.eu/articles/4-266;Antonella Fidanza;The University of Edinburgh;UK;Normal
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Mathieu Menta;Ultra Trace Analyses Aquitaine (UT2A/ADERA);France;Normal
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Gustavo Moreno-Martín;Universidad Complutense de Madrid;Spain;Normal
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Abdullah Taner Bişgin;Niğde Ömer Halisdemir University;Turkey;Normal
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Katrin Loeschner;Technical University of Denmark;Denmark;Normal
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103;Can Vatandaslar;Artvin Coruh University;Turkey;Normal
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103;Marc McDill;Penn State University;USA;Normal
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103;Olalla Díaz-Yáñez;Eidgenossische Technische Hochschule Zurich;Switzerland;Normal
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103;Yuxiang Dong;Tongji University;China;Normal
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103;Logan Robert Bingham;Technical University of Munich;Germany;Normal
Determining the emergency medical services innovation needs through a coordination and support action;https://open-research-europe.ec.europa.eu/articles/4-264;Krzysztof Goniewicz;Polish Air Force University;Poland;Normal
How cognitive processes shape implicit stereotypes: a literature review;https://open-research-europe.ec.europa.eu/articles/4-263;;;;Awaiting Review
Devonian–Mississippian magmatism related to extensional collapse in Svalbard: implications for radiating dyke swarms;https://open-research-europe.ec.europa.eu/articles/4-262;Natasha Stanton;University of Rio de Janeiro State;Brazil;Normal
Devonian–Mississippian magmatism related to extensional collapse in Svalbard: implications for radiating dyke swarms;https://open-research-europe.ec.europa.eu/articles/4-262;Alexei Ivanov;Russian Academy of Sciences;Russian Federation;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Hideo Sagawa;Kyoto Sangyo University;Japan;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Takahiro Iino;The University of Tokyo;Japan;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Kaustubh Hakim;KU Leuven;Belgium;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Andrey Baryshev;University of Groningen;The Netherlands;Normal
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Chijioke Amara Ezenyeaku;Nnamdi Azikiwe University;Nigeria;Normal
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Prashant Kulkarni;Centre for Infectious Diseases in India CIDI;India;Normal
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Oluseye Ademola Okunola;Obafemi Awolowo University;Nigeria;Normal
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Alexander G.M. Pietrow;Leibniz Institute for Astrophysics Potsdam;Germany;Normal
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Francesco Pecora;University of Delaware;USA;Normal
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Malcolm Druett;The University of Sheffield Department of Automatic Control and Systems Engineering;UK;Normal
Comparison of auditory fMRI protocols for a voice localizer;https://open-research-europe.ec.europa.eu/articles/4-261;Xi-Nian Zuo;Beijing Normal University;China;Normal
Comparison of auditory fMRI protocols for a voice localizer;https://open-research-europe.ec.europa.eu/articles/4-261;Federico De Martino;Maastricht University;The Netherlands;Normal
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Salvatore Coluccello;Coventry University;UK;Normal
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Federico Alagna;Scuola Normale Superiore;Italy;Normal
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Stefania Panebianco;University of Catania;Italy;Normal
Towards sustainable 6G: A collaborative call to action for addressing environmental challenges in (and thanks to) future mobile networks;https://open-research-europe.ec.europa.eu/articles/4-260/v1;Seppo Yrjölä;University of Oulu;Finland;Normal
Towards sustainable 6G: A collaborative call to action for addressing environmental challenges in (and thanks to) future mobile networks;https://open-research-europe.ec.europa.eu/articles/4-260/v1;Marja Matinmikko-Blue;University of Oulu;Finland;Normal
Towards sustainable 6G: A collaborative call to action for addressing environmental challenges in (and thanks to) future mobile networks;https://open-research-europe.ec.europa.eu/articles/4-260/v1;Agbotiname Lucky Imoize;University of Lagos;Nigeria;Normal
Residual flexural performance of large-scale ferronickel slag alkali-activated concrete slabs after fire exposure;https://open-research-europe.ec.europa.eu/articles/4-259;Herry Suryadi Djayaprabha;Parahyangan Catholic University;Indonesia;Normal
Residual flexural performance of large-scale ferronickel slag alkali-activated concrete slabs after fire exposure;https://open-research-europe.ec.europa.eu/articles/4-259;Nanqiao You;The University of Tokyo;Japan;Normal
Impact of sub-basalt thrust systems on the Faroe continental shelf for the late Paleoproterozoic–Cenozoic tectonic evolution of the margin.;https://open-research-europe.ec.europa.eu/articles/4-181;Martyn Stoker;The University of Adelaide;Australia;Normal
Impact of sub-basalt thrust systems on the Faroe continental shelf for the late Paleoproterozoic–Cenozoic tectonic evolution of the margin.;https://open-research-europe.ec.europa.eu/articles/4-181;Piotr Krzywiec;Institute of Geological Sciences;Poland;Normal
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Ilya Parkins;The University of British Columbia;Canada;Normal
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Tal Morse;Hadassah Academic College;Israel;Normal
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Marc A Ouellette;Old Dominion University;USA;Normal
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Matthew Wade;La Trobe University;Australia;Normal
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Julia Carter;University of the West of England;UK;Normal
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Tamao Saito;Sophia University;Japan;Normal
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Yusuke V. Morimoto;Kyushu Institute of Technology;Japan;Normal
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Shweta Saran;Jawaharlal Nehru University;India;Normal
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Ursula Weisenfeld;Leuphana University;Germany;Normal
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Lucia Alejandra Rodriguez Aceves;University of Bergamo (Ringgold ID: 18953);Italy;Normal
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Wojciech Czakon;Jagiellonian University;Poland;Normal
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Rafael Ventura;University of Malaga;Spain;Normal
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Jasmina Berbegal-Mirabent;Universitat Politecnica de Catalunya;Spain;Normal
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Bahtiar Mohamad;Universiti Utara Malaysia;Malaysia;Normal
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Edoardo Ongaro;The Open University;UK;Normal
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Teresa Fidélis;University of Aveiro;Portugal;Normal
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Allison Lassiter;University of Pennsylvania;USA;Normal
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Florian Brokhausen;Technische Universitat Berlin;Germany;Normal
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Alban Kuriqi;Universidade de Lisboa;Portugal;Normal
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Love Opeyemi David;University of Johannesburg;South Africa;Normal
EU geographical islands as leaders of green energy transition;https://open-research-europe.ec.europa.eu/articles/4-258/v1;Siamak Hosseinzadeh;Sapienza University of Rome;Italy;Normal
EU geographical islands as leaders of green energy transition;https://open-research-europe.ec.europa.eu/articles/4-258/v1;Avraam Kartalidis;Centre for Research and Technology Hellas (CERTH);Greece;Normal
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Robert Beig;Universitat Wien;Austria;Normal
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Matthew Maitra;ETH Zurich;Switzerland;Normal
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Michele Brun;University of Cagliari;Italy;Normal
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Ilya Svetlizky;Technion Israel Institute of Technology (Ringgold ID: 26747);Israel;Normal
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257;John Yackel;University of Calgary;Canada;Normal
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257;Ze Ren;Nanjing Institute of Geography and Limnology;China;Normal
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257;Guitao Shi;East China Normal University;China;Normal
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257;Edgardo A Hernández;Instituto Antártico Argentino;Argentina;Normal
Interoperability in demand response services for building systems interaction;https://open-research-europe.ec.europa.eu/articles/4-256;Arkar Htet;Lincoln University College;Malaysia;Normal
Interoperability in demand response services for building systems interaction;https://open-research-europe.ec.europa.eu/articles/4-256;Lasitha Chamari;Eindhoven University of Technology;The Netherlands;Normal
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Łukasz Nuckowski;University of Gdansk (Ringgold ID: 49646);Poland;Normal
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Dzenita Avdibegovic;KU Leuven;Belgium;Normal
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Juris Burlakovs;Riga Technical University;Latvia;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Nickolas Kokron;Princeton University;USA;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Fabrizio Gentile;University of Bologna;Italy;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Rodrigo Carvajal;Universidade de Lisboa;Portugal;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Robert M. Yates;University of Hertfordshire;UK;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Hideki Umehata;Nagoya University;Japan;Normal
Multi3Generation: Multitask, Multilingual, and Multimodal Language Generation;https://open-research-europe.ec.europa.eu/articles/3-176;Eugenio Martínez-Cámara;Universidad de Jaen;Spain;Normal
Multi3Generation: Multitask, Multilingual, and Multimodal Language Generation;https://open-research-europe.ec.europa.eu/articles/3-176;Marco Polignano;University of Bari 'Aldo Moro';Italy;Normal
Scoping review protocol on research prioritisation for preparedness and response to outbreaks of high consequence pathogens;https://open-research-europe.ec.europa.eu/articles/3-16;Robert Terry;World Health Organization;Switzerland;Normal
Scoping review protocol on research prioritisation for preparedness and response to outbreaks of high consequence pathogens;https://open-research-europe.ec.europa.eu/articles/3-16;Pasi Penttinen;European University Institute;Italy;Normal
Scoping review protocol on research prioritisation for preparedness and response to outbreaks of high consequence pathogens;https://open-research-europe.ec.europa.eu/articles/3-16;Mark K Huntington;University of South Dakota Sanford School of Medicine;USA;Normal
Enhanced identification of endocrine disruptors through integration of science-based regulatory practices and innovative methodologies: The MERLON Project;https://open-research-europe.ec.europa.eu/articles/4-68;Andrea Terron;EFSA European Food Safety Authority;Italy;Normal
Enhanced identification of endocrine disruptors through integration of science-based regulatory practices and innovative methodologies: The MERLON Project;https://open-research-europe.ec.europa.eu/articles/4-68;Qi Wang;Peking University;China;Normal
A timeline of freedom of movement in the European Economic Area;https://open-research-europe.ec.europa.eu/articles/2-133;Francesco Paolo Mongelli;Goethe University;Germany;Normal
A timeline of freedom of movement in the European Economic Area;https://open-research-europe.ec.europa.eu/articles/2-133;Dion Kramer;Vrije Universiteit Amsterdam;The Netherlands;Normal
A timeline of freedom of movement in the European Economic Area;https://open-research-europe.ec.europa.eu/articles/2-133;Mario Munta;European University Institute;Italy;Normal
Early medieval vernacular Celtic glosses: originals or translations?  A case study on the Vienna Bede;https://open-research-europe.ec.europa.eu/articles/3-108;Aaron Griffith;Utrecht University;The Netherlands;Normal
Early medieval vernacular Celtic glosses: originals or translations?  A case study on the Vienna Bede;https://open-research-europe.ec.europa.eu/articles/3-108;Chantal Kobel;Dublin Institute for Advanced Studies;Ireland;Normal
Early medieval vernacular Celtic glosses: originals or translations?  A case study on the Vienna Bede;https://open-research-europe.ec.europa.eu/articles/3-108;Pádraic Moran;University of Galway;Ireland;Normal
Joint controllers in large research consortia: a funnel model to distinguish controllers in the sense of the GDPR from other partners in the consortium;https://open-research-europe.ec.europa.eu/articles/2-80;Anne Bahr;Sanofi;France;Normal
Joint controllers in large research consortia: a funnel model to distinguish controllers in the sense of the GDPR from other partners in the consortium;https://open-research-europe.ec.europa.eu/articles/2-80;Jiahong Chen;The University of Sheffield;UK;Normal
Joint controllers in large research consortia: a funnel model to distinguish controllers in the sense of the GDPR from other partners in the consortium;https://open-research-europe.ec.europa.eu/articles/2-80;Javed Ahmed Shahani;Sukkur IBA University;Pakistan;Normal
Joint controllers in large research consortia: a funnel model to distinguish controllers in the sense of the GDPR from other partners in the consortium;https://open-research-europe.ec.europa.eu/articles/2-80;Alexander Bernier;McGill University;Canada;Normal
Developing the next generation of renewable energy technologies: an overview of low-TRL EU-funded research projects;https://open-research-europe.ec.europa.eu/articles/3-8;Nikolaos E. Koltsaklis;Czech Technical University in Prague;Czech Republic;Normal
Developing the next generation of renewable energy technologies: an overview of low-TRL EU-funded research projects;https://open-research-europe.ec.europa.eu/articles/3-8;Paul Adjei Kwakwa;University of Energy and Natural Resources;Ghana;Normal
Developing the next generation of renewable energy technologies: an overview of low-TRL EU-funded research projects;https://open-research-europe.ec.europa.eu/articles/3-8;Konstantinos Gkoumas;European Research Executive Agency;Italy;Normal
Developing the next generation of renewable energy technologies: an overview of low-TRL EU-funded research projects;https://open-research-europe.ec.europa.eu/articles/3-8;Oskar Juszczyk;University of Vaasa;Finland;Normal
ECRIN – CESSDA strategies for cross metadata mappings in selected areas between life sciences and social sciences and humanities;https://open-research-europe.ec.europa.eu/articles/3-180;Adrian Dusa;University of Bucharest;Romania;Normal
ECRIN – CESSDA strategies for cross metadata mappings in selected areas between life sciences and social sciences and humanities;https://open-research-europe.ec.europa.eu/articles/3-180;Veerle Van den Eynden;KU Leuven;Belgium;Normal
ECRIN – CESSDA strategies for cross metadata mappings in selected areas between life sciences and social sciences and humanities;https://open-research-europe.ec.europa.eu/articles/3-180;Ricarda Braukmann;DANS-KNAW;The Netherlands;Normal
Digital twins for land-based aquaculture: A case study for rainbow trout (Oncorhynchus mykiss);https://open-research-europe.ec.europa.eu/articles/2-16;David Jones;University of Aberystwyth;UK;Normal
Digital twins for land-based aquaculture: A case study for rainbow trout (Oncorhynchus mykiss);https://open-research-europe.ec.europa.eu/articles/2-16;Murat Yigit;Canakkale Onsekiz Mart University;Turkey;Normal
Children learn ergative case marking in Hindi using statistical preemption and clause-level semantics (intentionality): evidence from acceptability judgment and elicited production studies with children and adults;https://open-research-europe.ec.europa.eu/articles/3-49;Archna Bhatia;Florida Institute for Human and Machine Cognition;USA;Normal
Children learn ergative case marking in Hindi using statistical preemption and clause-level semantics (intentionality): evidence from acceptability judgment and elicited production studies with children and adults;https://open-research-europe.ec.europa.eu/articles/3-49;Vsevolod Kapatsinski;University of Oregon;USA;Normal
Children learn ergative case marking in Hindi using statistical preemption and clause-level semantics (intentionality): evidence from acceptability judgment and elicited production studies with children and adults;https://open-research-europe.ec.europa.eu/articles/3-49;Aaricia Ponnet;Ghent University;Belgium;Normal
Hydrothermal carbonization (HTC) of dairy waste: effect of temperature and initial acidity on the composition and quality of solid and liquid products;https://open-research-europe.ec.europa.eu/articles/2-83;Rafal Marcin Lukasik;Łukasiewicz Center;Poland;Normal
Hydrothermal carbonization (HTC) of dairy waste: effect of temperature and initial acidity on the composition and quality of solid and liquid products;https://open-research-europe.ec.europa.eu/articles/2-83;Elena Díaz;Universidad Autonoma de Madrid;Spain;Normal
Hydrothermal carbonization (HTC) of dairy waste: effect of temperature and initial acidity on the composition and quality of solid and liquid products;https://open-research-europe.ec.europa.eu/articles/2-83;Dimitris Kalderis;Hellenic Mediterranean University;Greece;Normal
SCAPE-APA: a package for estimating alternative polyadenylation events from scRNA-seq data;https://open-research-europe.ec.europa.eu/articles/4-220;Wenbin Ye;University of California Irvine;USA;Normal
Update on Blastocystis: highlights from the Fourth International Blastocystis Conference;https://open-research-europe.ec.europa.eu/articles/5-11;Barbara Soba;University of Ljubljana;Slovenia;Normal
Update on Blastocystis: highlights from the Fourth International Blastocystis Conference;https://open-research-europe.ec.europa.eu/articles/5-11;Funda Dogruman-Al;Gazi University;Turkey;Normal
Decoding 5G security: toward a hybrid threat ontology;https://open-research-europe.ec.europa.eu/articles/4-34;Leslie F. Sikos;Edith Cowan University;Australia;Normal
Decoding 5G security: toward a hybrid threat ontology;https://open-research-europe.ec.europa.eu/articles/4-34;I.J. Da Silva Oliveira;University of Twente;The Netherlands;Normal
Geothermal Energy Impact Estimator: A software application for estimating the life-cycle environmental impacts of geothermal energy;https://open-research-europe.ec.europa.eu/articles/3-2;Giampaolo Manfrida;University of Florence;Italy;Normal
Geothermal Energy Impact Estimator: A software application for estimating the life-cycle environmental impacts of geothermal energy;https://open-research-europe.ec.europa.eu/articles/3-2;Astu Sam Pratiwi;University of Geneva;Switzerland;Normal
Geothermal Energy Impact Estimator: A software application for estimating the life-cycle environmental impacts of geothermal energy;https://open-research-europe.ec.europa.eu/articles/3-2;Neil Burnside;University of Strathclyde;UK;Normal
Nonlinear field-control of terahertz waves in random media for spatiotemporal focusing;https://open-research-europe.ec.europa.eu/articles/2-32;Romain Peretti;IEMN - CNRS;France;Normal
Nonlinear field-control of terahertz waves in random media for spatiotemporal focusing;https://open-research-europe.ec.europa.eu/articles/2-32;Silvia Gentilini;Institute for Complex Systems;Italy;Normal
Improved predictions of phase behaviour of intrinsically disordered proteins by tuning the interaction range;https://open-research-europe.ec.europa.eu/articles/2-94;Alex Holehouse;Washington University School of Medicine;USA;Normal
Improved predictions of phase behaviour of intrinsically disordered proteins by tuning the interaction range;https://open-research-europe.ec.europa.eu/articles/2-94;Frauke Gräter;Heidelberg Institute for Theoretical Studies (HITS);Germany;Normal
KSEMAW: an open source software for the analysis of spectrophotometric, ellipsometric and photothermal deflection spectroscopy measurements;https://open-research-europe.ec.europa.eu/articles/1-95;Simone Zanotto;CNR - Istituto di Nanoscienze;Italy;Normal
KSEMAW: an open source software for the analysis of spectrophotometric, ellipsometric and photothermal deflection spectroscopy measurements;https://open-research-europe.ec.europa.eu/articles/1-95;Lars Korte;Helmholtz-Zentrum Berlin für Materialien und Energie GmbH;Germany;Normal
The state of the art in beyond 5G distributed massive multiple-input multiple-output communication system solutions;https://open-research-europe.ec.europa.eu/articles/2-106;Jagadeesh Babu kamili;St. Ann's College of Engineering & Technology;India;Normal
The state of the art in beyond 5G distributed massive multiple-input multiple-output communication system solutions;https://open-research-europe.ec.europa.eu/articles/2-106;Daniyal Ali Sehrai;University of Oviedo;Spain;Normal
The state of the art in beyond 5G distributed massive multiple-input multiple-output communication system solutions;https://open-research-europe.ec.europa.eu/articles/2-106;Rashmi Sinha;National Institute of Technology Jamshedpur;India;Normal
The COMBAT project: controlling and progressively minimizing the burden of vector-borne animal trypanosomosis in Africa;https://open-research-europe.ec.europa.eu/articles/2-67;Brice Rotureau;Institut Pasteur of Guinea;Guinea;Normal
The COMBAT project: controlling and progressively minimizing the burden of vector-borne animal trypanosomosis in Africa;https://open-research-europe.ec.europa.eu/articles/2-67;Harriet Auty;University of Glasgow;UK;Normal
The COMBAT project: controlling and progressively minimizing the burden of vector-borne animal trypanosomosis in Africa;https://open-research-europe.ec.europa.eu/articles/2-67;Jan Van Den Abbeele;Institute of Tropical Medicine Antwerp;Belgium;Normal
Automated identification of borrowings in multilingual wordlists;https://open-research-europe.ec.europa.eu/articles/1-79;Pui Yiu Szeto;The University of Hong Kong;China;Normal
Automated identification of borrowings in multilingual wordlists;https://open-research-europe.ec.europa.eu/articles/1-79;John Nerbonne;University of Groningen;The Netherlands;Normal
Automated identification of borrowings in multilingual wordlists;https://open-research-europe.ec.europa.eu/articles/1-79;George S. Starostin;Russian State University for the Humanities;Russian Federation;Normal
Automated identification of borrowings in multilingual wordlists;https://open-research-europe.ec.europa.eu/articles/1-79;Kenichi W. Okamoto;University of St. Thomas;USA;Normal
Towards ethical good practice in cash transfer trials and their evaluation;https://open-research-europe.ec.europa.eu/articles/2-12;Karl Widerquist;Georgetown University-Qatar;Qatar;Normal
Towards ethical good practice in cash transfer trials and their evaluation;https://open-research-europe.ec.europa.eu/articles/2-12;Maria Elisa Balen;Universidad Nacional de Colombia;Colombia;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Our Galaxy;https://open-research-europe.ec.europa.eu/articles/4-112;Guochao (Jason) Sun;Northwestern University;USA;Normal
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Our Galaxy;https://open-research-europe.ec.europa.eu/articles/4-112;Tayyaba Zafar;Macquarie University;Australia;Normal
Properties of biomass powders resulting from the fine comminution of lignocellulosic feedstocks by three types of ball-mill set-up;https://open-research-europe.ec.europa.eu/articles/1-125;Peter. J. Deuss;University of Groningen;The Netherlands;Normal
Properties of biomass powders resulting from the fine comminution of lignocellulosic feedstocks by three types of ball-mill set-up;https://open-research-europe.ec.europa.eu/articles/1-125;Christine Frances;Université de Toulouse;France;Normal
