题目;链接;Version编号;Version时间;Reviewer编号;状态
Mapping leadership and communities in EU-funded research through network analysis;https://open-research-europe.ec.europa.eu/articles/4-268;Version 1;2024-12-18;2;Approved with Reservations
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 2;2024-12-18;1;
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 2;2024-12-18;2;
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 2;2024-12-18;3;
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 2;2024-12-18;4;Not Approved
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 1;2024-01-10;1;Approved with Reservations
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 1;2024-01-10;2;Approved with Reservations
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 1;2024-01-10;3;Approved
Thermal efficiency dataset around Cuban seas (TEDACS);https://open-research-europe.ec.europa.eu/articles/4-15;Version 1;2024-01-10;4;Approved with Reservations
Overcoming the Silencing of Doxycycline-Inducible Promoters in hiPSC-derived Cardiomyocytes;https://open-research-europe.ec.europa.eu/articles/4-266;Version 1;2024-12-18;1;Approved
Overcoming the Silencing of Doxycycline-Inducible Promoters in hiPSC-derived Cardiomyocytes;https://open-research-europe.ec.europa.eu/articles/4-266;Version 1;2024-12-18;2;Approved with Reservations
Overcoming the Silencing of Doxycycline-Inducible Promoters in hiPSC-derived Cardiomyocytes;https://open-research-europe.ec.europa.eu/articles/4-266;Version 1;2024-12-18;3;Approved with Reservations
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Version 1;2024-12-18;1;Not Approved
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Version 1;2024-12-18;2;Approved with Reservations
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Version 1;2024-12-18;3;Approved with Reservations
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy;https://open-research-europe.ec.europa.eu/articles/4-265;Version 1;2024-12-18;4;Approved with Reservations
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 2;2024-12-16;1;
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 2;2024-12-16;2;
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 2;2024-12-16;3;
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 2;2024-12-16;4;Approved with Reservations
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 2;2024-12-16;5;Approved
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 1;2023-06-21;1;Approved
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 1;2023-06-21;2;Not Approved
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 1;2023-06-21;3;Approved with Reservations
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 1;2023-06-21;4;
MultiOptForest: An interactive multi-objective optimization tool for forest planning and scenario analysis;https://open-research-europe.ec.europa.eu/articles/3-103/v1;Version 1;2023-06-21;5;
Determining the emergency medical services innovation needs through a coordination and support action;https://open-research-europe.ec.europa.eu/articles/4-264;Version 1;2024-12-16;1;Approved with Reservations
Devonian–Mississippian magmatism related to extensional collapse in Svalbard: implications for radiating dyke swarms;https://open-research-europe.ec.europa.eu/articles/4-262;Version 1;2024-12-12;1;Approved
Devonian–Mississippian magmatism related to extensional collapse in Svalbard: implications for radiating dyke swarms;https://open-research-europe.ec.europa.eu/articles/4-262;Version 1;2024-12-12;2;Approved
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 2;2024-12-12;1;
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 2;2024-12-12;2;
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 2;2024-12-12;3;Approved
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 2;2024-12-12;4;Approved
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 1;2024-04-24;1;Approved
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 1;2024-04-24;2;Approved
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 1;2024-04-24;3;Approved
Atacama Large Aperture Submillimeter Telescope (AtLAST) Science: Planetary and Cometary Atmospheres;https://open-research-europe.ec.europa.eu/articles/4-78/v1;Version 1;2024-04-24;4;
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Version 2;2024-12-12;1;
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Version 2;2024-12-12;2;Approved with Reservations
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Version 2;2024-12-12;3;
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Version 1;2024-07-10;1;Approved
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Version 1;2024-07-10;2;Approved with Reservations
The  proportion and determinants of appropriate health seeking behavior for febrile illness among caregivers of children under-five years in Butula sub-county, Busia county, Kenya;https://open-research-europe.ec.europa.eu/articles/4-143;Version 1;2024-07-10;3;Approved
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Version 2;2024-12-12;1;Approved
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Version 2;2024-12-12;2;
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Version 2;2024-12-12;3;Approved
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Version 1;2024-07-09;1;Approved with Reservations
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Version 1;2024-07-09;2;Approved
Science development study for the Atacama Large Aperture Submillimeter Telescope (AtLAST): Solar and stellar observations;https://open-research-europe.ec.europa.eu/articles/4-140/v1;Version 1;2024-07-09;3;Approved with Reservations
Comparison of auditory fMRI protocols for a voice localizer;https://open-research-europe.ec.europa.eu/articles/4-261;Version 1;2024-12-11;1;Approved with Reservations
Comparison of auditory fMRI protocols for a voice localizer;https://open-research-europe.ec.europa.eu/articles/4-261;Version 1;2024-12-11;2;Approved
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Version 2;2024-12-11;1;
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Version 2;2024-12-11;2;Approved
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Version 2;2024-12-11;3;
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Version 1;2024-06-28;1;Approved
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Version 1;2024-06-28;2;Approved
A prevention approach to undocumented forms of migration across the Mediterranean Sea: a critical assessment from Italy;https://open-research-europe.ec.europa.eu/articles/4-126;Version 1;2024-06-28;3;Approved
Towards sustainable 6G: A collaborative call to action for addressing environmental challenges in (and thanks to) future mobile networks;https://open-research-europe.ec.europa.eu/articles/4-260/v1;Version 1;2024-12-09;1;Approved with Reservations
Towards sustainable 6G: A collaborative call to action for addressing environmental challenges in (and thanks to) future mobile networks;https://open-research-europe.ec.europa.eu/articles/4-260/v1;Version 1;2024-12-09;2;Approved with Reservations
Towards sustainable 6G: A collaborative call to action for addressing environmental challenges in (and thanks to) future mobile networks;https://open-research-europe.ec.europa.eu/articles/4-260/v1;Version 1;2024-12-09;3;Approved with Reservations
Residual flexural performance of large-scale ferronickel slag alkali-activated concrete slabs after fire exposure;https://open-research-europe.ec.europa.eu/articles/4-259;Version 1;2024-12-09;1;Approved with Reservations
Residual flexural performance of large-scale ferronickel slag alkali-activated concrete slabs after fire exposure;https://open-research-europe.ec.europa.eu/articles/4-259;Version 1;2024-12-09;2;Approved with Reservations
Impact of sub-basalt thrust systems on the Faroe continental shelf for the late Paleoproterozoic–Cenozoic tectonic evolution of the margin.;https://open-research-europe.ec.europa.eu/articles/4-181;Version 2;2024-12-07;1;Approved
Impact of sub-basalt thrust systems on the Faroe continental shelf for the late Paleoproterozoic–Cenozoic tectonic evolution of the margin.;https://open-research-europe.ec.europa.eu/articles/4-181;Version 2;2024-12-07;2;Approved
Impact of sub-basalt thrust systems on the Faroe continental shelf for the late Paleoproterozoic–Cenozoic tectonic evolution of the margin.;https://open-research-europe.ec.europa.eu/articles/4-181;Version 1;2024-08-13;1;Approved with Reservations
Impact of sub-basalt thrust systems on the Faroe continental shelf for the late Paleoproterozoic–Cenozoic tectonic evolution of the margin.;https://open-research-europe.ec.europa.eu/articles/4-181;Version 1;2024-08-13;2;Approved with Reservations
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 2;2024-12-05;1;
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 2;2024-12-05;2;
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 2;2024-12-05;3;Approved
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 2;2024-12-05;4;
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 2;2024-12-05;5;
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 1;2023-11-16;1;Approved with Reservations
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 1;2023-11-16;2;Approved with Reservations
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 1;2023-11-16;3;Approved with Reservations
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 1;2023-11-16;4;Approved with Reservations
Promising images of love: a qualitative-ethnographic study about the mediatised memories of weddings;https://open-research-europe.ec.europa.eu/articles/3-198;Version 1;2023-11-16;5;Approved with Reservations
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Version 2;2024-12-05;1;
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Version 2;2024-12-05;2;Approved
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Version 2;2024-12-05;3;
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Version 1;2024-10-29;1;Approved
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Version 1;2024-10-29;2;Approved with Reservations
NOVEL INVENTION OF SPORE INDUCTION IN A SISTER SPECIES TO GROUP 4 DICTYOSTELIA;https://open-research-europe.ec.europa.eu/articles/4-239;Version 1;2024-10-29;3;Approved
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 3;2024-12-05;1;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 3;2024-12-05;2;Approved
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 3;2024-12-05;3;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 3;2024-12-05;4;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 3;2024-12-05;5;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 3;2024-12-05;6;Approved with Reservations
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 3;2024-12-05;7;Approved with Reservations
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 2;2024-09-09;1;Approved
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 2;2024-09-09;2;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 2;2024-09-09;3;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 2;2024-09-09;4;Approved
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 2;2024-09-09;5;Approved
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 2;2024-09-09;6;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 2;2024-09-09;7;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 1;2024-04-11;1;Approved with Reservations
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 1;2024-04-11;2;Approved with Reservations
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 1;2024-04-11;3;Approved
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 1;2024-04-11;4;Approved with Reservations
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 1;2024-04-11;5;Approved with Reservations
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 1;2024-04-11;6;
Unicanvas: Exploring a tool for strategic management;https://open-research-europe.ec.europa.eu/articles/4-64;Version 1;2024-04-11;7;
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 2;2024-12-05;1;Approved
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 2;2024-12-05;2;
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 2;2024-12-05;3;
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 2;2024-12-05;4;Approved with Reservations
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 2;2024-12-05;5;Approved with Reservations
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 1;2024-04-24;1;Approved with Reservations
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 1;2024-04-24;2;Approved with Reservations
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 1;2024-04-24;3;Approved with Reservations
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 1;2024-04-24;4;
Insights from the co-creation process in communities of practice for urban water management;https://open-research-europe.ec.europa.eu/articles/4-89;Version 1;2024-04-24;5;
EU geographical islands as leaders of green energy transition;https://open-research-europe.ec.europa.eu/articles/4-258/v1;Version 1;2024-12-04;1;Approved with Reservations
EU geographical islands as leaders of green energy transition;https://open-research-europe.ec.europa.eu/articles/4-258/v1;Version 1;2024-12-04;2;Approved
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 2;2024-12-04;1;
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 2;2024-12-04;2;Approved
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 2;2024-12-04;3;
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 2;2024-12-04;4;Approved
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 1;2024-05-10;1;Approved
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 1;2024-05-10;2;Approved with Reservations
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 1;2024-05-10;3;Approved with Reservations
On elastic deformations of cylindrical bodies under the influence of the gravitational field;https://open-research-europe.ec.europa.eu/articles/4-98;Version 1;2024-05-10;4;
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257/v1;Version 1;2024-12-04;1;Approved
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257/v1;Version 1;2024-12-04;2;Approved
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257/v1;Version 1;2024-12-04;3;Approved
PRA Melting-ICE Project: Svalbard 2022 Expeditions Report;https://open-research-europe.ec.europa.eu/articles/4-257/v1;Version 1;2024-12-04;4;Approved with Reservations
Interoperability in demand response services for building systems interaction;https://open-research-europe.ec.europa.eu/articles/4-256;Version 1;2024-11-28;1;Approved with Reservations
Interoperability in demand response services for building systems interaction;https://open-research-europe.ec.europa.eu/articles/4-256;Version 1;2024-11-28;2;Approved with Reservations
Detection of abortifacient agents in domestic ruminants, with a specific focus on Coxiella burnetii;https://open-research-europe.ec.europa.eu/articles/5-94;;;1;awaiting peer review
Data sharing in child and adolescent psychiatry research: Key challenges (and some potential solutions);https://open-research-europe.ec.europa.eu/articles/5-93;;;1;awaiting peer review
Increasing transferability for automated fault detection and diagnosis in HVAC systems through a hybrid AI methodology;https://open-research-europe.ec.europa.eu/articles/5-91;;;1;awaiting peer review
Seeing is believing: How citizen science challenges riparian misconceptions;https://open-research-europe.ec.europa.eu/articles/5-89;;;1;awaiting peer review
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation;https://open-research-europe.ec.europa.eu/articles/5-87;;;1;awaiting peer review
Protocol for Surveying Participants and Professionals’ Experiences in an International Kidney Transplant Clinical Trial;https://open-research-europe.ec.europa.eu/articles/4-241;;;1;awaiting peer review
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.;https://open-research-europe.ec.europa.eu/articles/4-146;;;1;awaiting peer review
Prevalence and individual level enablers and barriers for COVID-19 vaccine uptake among adult tuberculosis patients attending selected clinics in Nairobi County, Kenya;https://open-research-europe.ec.europa.eu/articles/4-137;;;1;awaiting peer review
Comparison of cloud storage in terms of privacy and personal data - Sync, pCloud, IceDrive and Egnyte;https://open-research-europe.ec.europa.eu/articles/4-128;;;1;awaiting peer review
Portugal's health in all policies: A comprehensive review of legal frameworks;https://open-research-europe.ec.europa.eu/articles/5-85;;;1;awaiting peer review
Assuming Agency: Women of nobility as forced migrants;https://open-research-europe.ec.europa.eu/articles/5-83;;;1;awaiting peer review
Digital Innovations for Transformative Food Systems Governance: Conceptualising a COMMONSource test case;https://open-research-europe.ec.europa.eu/articles/5-82;;;1;awaiting peer review
Recent earthquakes in Svalbard sourced from transform-parallel thrust systems: implications for linear earthquake swarms and earthquake risk;https://open-research-europe.ec.europa.eu/articles/5-80;;;1;awaiting peer review
Improving Fleet Size Estimation for Factory Logistics Under Demand, Speed, and Efficiency Uncertainty;https://open-research-europe.ec.europa.eu/articles/5-79;;;1;awaiting peer review
"Pelvic floor complaint profiles in young adult women; a file review study in pelvic physical therapy practices in the Netherlands";https://open-research-europe.ec.europa.eu/articles/5-78;;;1;awaiting peer review
Sharing behavior and health care utilization following direct-to-consumer genetic testing: a systematic review;https://open-research-europe.ec.europa.eu/articles/5-74;;;1;awaiting peer review
Machine learning-based identification of key biotic and abiotic drivers of mineral weathering rate in a complex enhanced weathering experiment;https://open-research-europe.ec.europa.eu/articles/5-71;;;1;awaiting peer review
Better treatment response in people with obsessive-compulsive disorder is associated with more use of a planning-focused coping style;https://open-research-europe.ec.europa.eu/articles/4-57;;;1;awaiting peer review
Differential expression analysis of binary appearance patterns;https://open-research-europe.ec.europa.eu/articles/4-52;;;1;awaiting peer review
Evaluation of Mediterranean sponges as natural samplers for environmental DNA (eDNA);https://open-research-europe.ec.europa.eu/articles/5-69;;;1;awaiting peer review
Qualitative hypotheses;https://open-research-europe.ec.europa.eu/articles/5-64;;;1;awaiting peer review
SituationalLLM: Proactive Language Models with Scene Awareness for Dynamic, Contextual Task Guidance;https://open-research-europe.ec.europa.eu/articles/5-61;;;1;awaiting peer review
Wind envelope amplitude data at 300 hPa for the study of atmospheric waves in the Southern Hemisphere during austral summer;https://open-research-europe.ec.europa.eu/articles/3-68;;;1;awaiting peer review
Immunoglobulin G isolation by fast protein liquid chromatography (FPLC): Method validation and implementation in patients with amyotrophic lateral sclerosis – a preliminary study;https://open-research-europe.ec.europa.eu/articles/2-93;;;1;awaiting peer review
Interleaved Quadratic Boost DC-DC Converter with Extended Voltage Gain and Reduced Switch Voltage Stress for Photovoltaic Applications;https://open-research-europe.ec.europa.eu/articles/5-55;;;1;awaiting peer review
Enhancing community participation in Disaster Risk Management: Recommendations for an inclusive approach;https://open-research-europe.ec.europa.eu/articles/5-50;;;1;awaiting peer review
A Multiple Compression Approach using Attribute-based Signatures;https://open-research-europe.ec.europa.eu/articles/5-49;;;1;awaiting peer review
Perceived stress in relation to working hours and caring responsibilities: A cross-sectional study during the COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/5-35;;;1;awaiting peer review
Development and testing of compact electronic modules for detectors based on SiPM array;https://open-research-europe.ec.europa.eu/articles/5-33;;;1;awaiting peer review
"Southern European entrepreneurship engine:
A model for deep tech commercialization and 
sustainable growth";https://open-research-europe.ec.europa.eu/articles/5-32;;;1;awaiting peer review
Exploring MAR perceptions in Kosovo – disparities in knowledge about MAR among young people;https://open-research-europe.ec.europa.eu/articles/5-20;;;1;awaiting peer review
Anomaly Detection in Industrial Processes: Supervised vs. Unsupervised Learning and the Role of Explainability;https://open-research-europe.ec.europa.eu/articles/5-8;;;1;awaiting peer review
Targeting Plasmodium falciparum chondroitin sulfate a ligand: A highly conserved malaria antigen with potential for pregnancy-associated malaria vaccine development;https://open-research-europe.ec.europa.eu/articles/5-7;;;1;awaiting peer review
How cognitive processes shape implicit stereotypes: a literature review;https://open-research-europe.ec.europa.eu/articles/4-263;;;1;awaiting peer review
Data analytics for research on complex brain disorders;https://open-research-europe.ec.europa.eu/articles/4-246;Version 1;2024-11-08;1;Approved with Reservations
Data analytics for research on complex brain disorders;https://open-research-europe.ec.europa.eu/articles/4-246;Version 1;2024-11-08;2;Approved with Reservations
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 3;2024-07-29;1;Approved with Reservations
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 3;2024-07-29;2;Approved
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 3;2024-07-29;3;Approved
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 2;2024-05-28;1;
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 2;2024-05-28;2;
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 2;2024-05-28;3;
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 1;2023-06-14;1;Approved with Reservations
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 1;2023-06-14;2;Approved with Reservations
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Version 1;2023-06-14;3;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Version 1;2024-06-24;1;Approved with Reservations
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Version 1;2024-06-24;2;Approved with Reservations
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Version 1;2024-06-24;3;Approved
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe;https://open-research-europe.ec.europa.eu/articles/4-122;Version 1;2024-06-24;4;Approved with Reservations
